道路编号,自增ID,车流量,道路名称,日期,
1.0,1,2.2,环北路,2020-03-03 00:00:00,
1.0,2,2.9,环北路,2020-03-04 00:00:00,
1.0,3,3.4,环北路,2020-03-05 00:00:00,
1.0,4,4,环北路,2020-03-06 00:00:00,
1.0,5,2.1,环北路,2020-03-07 00:00:00,
1.0,6,3.1,环北路,2020-03-08 00:00:00,
1.0,7,1.8,环北路,2020-03-09 00:00:00,
1.0,8,4.1,环北路,2020-03-10 00:00:00,
1.0,9,1.6,环北路,2020-03-11 00:00:00,
1.0,10,3.5,环北路,2020-03-12 00:00:00,
1.0,11,2.4,环北路,2020-03-13 00:00:00,
1.0,12,2.7,环北路,2020-03-14 00:00:00,
1.0,13,1.9,环北路,2020-03-15 00:00:00,
1.0,14,3,环北路,2020-03-16 00:00:00,
1.0,15,1.8,环北路,2020-03-17 00:00:00,
1.0,16,1.6,环北路,2020-03-18 00:00:00,
1.0,17,4.1,环北路,2020-03-19 00:00:00,
1.0,18,2.4,环北路,2020-03-20 00:00:00,
1.0,19,4,环北路,2020-03-21 00:00:00,
2.0,20,1.8,凤起路,2020-03-03 00:00:00,
2.0,21,3.4,凤起路,2020-03-04 00:00:00,
2.0,22,2.4,凤起路,2020-03-05 00:00:00,
2.0,23,2.7,凤起路,2020-03-06 00:00:00,
2.0,24,2.7,凤起路,2020-03-07 00:00:00,
2.0,25,3.7,凤起路,2020-03-08 00:00:00,
2.0,26,3.9,凤起路,2020-03-09 00:00:00,
2.0,27,1.9,凤起路,2020-03-10 00:00:00,
2.0,28,1.6,凤起路,2020-03-11 00:00:00,
2.0,29,3.2,凤起路,2020-03-12 00:00:00,
2.0,30,2.1,凤起路,2020-03-13 00:00:00,
2.0,31,1.9,凤起路,2020-03-14 00:00:00,
2.0,32,2,凤起路,2020-03-15 00:00:00,
2.0,33,2.9,凤起路,2020-03-16 00:00:00,
2.0,34,1.9,凤起路,2020-03-17 00:00:00,
2.0,35,2,凤起路,2020-03-18 00:00:00,
2.0,36,2.8,凤起路,2020-03-19 00:00:00,
2.0,37,1.5,凤起路,2020-03-20 00:00:00,
2.0,38,2.7,凤起路,2020-03-21 00:00:00,
2.0,39,2.6,凤起路,2020-03-22 00:00:00,
3.0,40,3.5,庆春路,2020-03-03 00:00:00,
3.0,41,3.1,庆春路,2020-03-04 00:00:00,
3.0,42,3.4,庆春路,2020-03-05 00:00:00,
3.0,43,1.5,庆春路,2020-03-06 00:00:00,
3.0,44,3.2,庆春路,2020-03-07 00:00:00,
3.0,45,2.6,庆春路,2020-03-08 00:00:00,
3.0,46,2,庆春路,2020-03-09 00:00:00,
3.0,47,3.4,庆春路,2020-03-10 00:00:00,
3.0,48,1.9,庆春路,2020-03-11 00:00:00,
3.0,49,2.9,庆春路,2020-03-12 00:00:00,
3.0,50,2.5,庆春路,2020-03-13 00:00:00,
3.0,51,2.2,庆春路,2020-03-14 00:00:00,
3.0,52,2.1,庆春路,2020-03-15 00:00:00,
3.0,53,2.6,庆春路,2020-03-16 00:00:00,
3.0,54,2.6,庆春路,2020-03-17 00:00:00,
3.0,55,3.7,庆春路,2020-03-18 00:00:00,
3.0,56,2,庆春路,2020-03-19 00:00:00,
3.0,57,2.2,庆春路,2020-03-20 00:00:00,
3.0,58,3.5,庆春路,2020-03-21 00:00:00,
3.0,59,2.1,庆春路,2020-03-22 00:00:00,
3.0,60,3.3,庆春路,2020-03-23 00:00:00,
3.0,61,1.5,庆春路,2020-03-24 00:00:00,
3.0,62,3.4,庆春路,2020-03-25 00:00:00,
3.0,63,3.6,庆春路,2020-03-26 00:00:00,
3.0,64,3.7,庆春路,2020-03-27 00:00:00,
3.0,65,3.9,庆春路,2020-03-28 00:00:00,
3.0,66,1.9,庆春路,2020-03-29 00:00:00,
3.0,67,3.7,庆春路,2020-03-30 00:00:00,
3.0,68,1.5,庆春路,2020-03-31 00:00:00,
3.0,69,2.6,庆春路,2020-04-01 00:00:00,
3.0,70,1.8,庆春路,2020-04-02 00:00:00,
3.0,71,2.2,庆春路,2020-04-03 00:00:00,
3.0,72,1.6,庆春路,2020-04-04 00:00:00,
3.0,73,2.8,庆春路,2020-04-05 00:00:00,
3.0,74,2.4,庆春路,2020-04-06 00:00:00,
3.0,75,2.3,庆春路,2020-04-07 00:00:00,
3.0,76,2.8,庆春路,2020-04-08 00:00:00,
3.0,77,3.3,庆春路,2020-04-09 00:00:00,
3.0,78,3.9,庆春路,2020-04-10 00:00:00,
3.0,79,3.4,庆春路,2020-04-11 00:00:00,
4.0,80,3.7,延安路,2020-03-03 00:00:00,
4.0,81,1.9,延安路,2020-03-04 00:00:00,
4.0,82,1.9,延安路,2020-03-05 00:00:00,
4.0,83,2.5,延安路,2020-03-06 00:00:00,
4.0,84,2.8,延安路,2020-03-07 00:00:00,
4.0,85,2.7,延安路,2020-03-08 00:00:00,
